"","X.1","X","File","Words","Contour","language","talker","utt","condition","sentence","kaamSentence","ContourS","predTone","auxTone","finalTone","pause","pause2"
"1",1,1,"CHO-P1-target1.wav","ananyaa <p> kheDvaanu kaam karti hase ","L-H% 0 0 LH L-H%","Chodri","P1","target1","subjFoc","sentence18","yes","LH 0 0 LH L-H%","0","LH ","L-H%","yes","L-H%"
"6",6,6,"CHO-P1-target14.wav","ananyaa <p> kasrat karti hase ","L-H% LH LH L-H%","Chodri","P1","target14","predFoc","sentence1114","no","LH LH LH L-H%","LH","LH ","L-H%","yes","L-H%"
"9",9,9,"CHO-P1-target2.wav","laavanya kasrat <p> karti hase ","LH L-H% LH H-L%","Chodri","P1","target2","predFoc","sentence25","no","LH LH LH H-L%","LH","LH ","H-L%","no","LH L"
"53",53,55,"CHO-P12-target15.wav","laavanya <p> kheDvaanu kaam karti hase ","L-H% LH 0 LH H-L%","Chodri","P12","target15","subjFoc","sentence1215","yes","LH LH 0 LH H-L%","LH","LH ","H-L%","yes","L-H%"
"95",95,98,"CHO-P5-target10.wav","laavanya <p> aaraam karti hase ","L-H% LH LH L-H%","Chodri","P5","target10","predFoc","sentence710","no","LH LH LH L-H%","LH","LH ","L-H%","yes","L-H%"
"107",107,110,"CHO-P5-target7.wav","laavanya <p> aaraam karti hase ","L-H% LH LH L-L%","Chodri","P5","target7","subjFoc","sentence710","no","LH LH LH L-L%","LH","LH ","L-L%","yes","L-H%"
"110",110,113,"CHO-P6-target1.wav","ananyaa <p> kheDvaanu kaam karti hase ","L-H% LH 0 LH L-L%","Chodri","P6","target1","subjFoc","sentence18","yes","LH LH 0 LH L-L%","LH","LH ","L-L%","yes","L-H%"
"114",114,118,"CHO-P6-target14.wav","ananyaa <p> kasrat karti hase ","L-H% LH 0 L-L%","Chodri","P6","target14","predFoc","sentence1114","no","LH LH 0 L-L%","LH"," 0 ","L-L%","yes","L-H%"
"115",115,119,"CHO-P6-target15.wav","laavanya <p> kheDvaanu kaam karti hase ","L-H% LH 0 LH L-L%","Chodri","P6","target15","subjFoc","sentence1215","yes","LH LH 0 LH L-L%","LH","LH ","L-L%","yes","L-H%"
"117",117,121,"CHO-P6-target2.wav","laavanya <p> kasrat karti hase ","L-H% LH LH L-H%","Chodri","P6","target2","predFoc","sentence25","no","LH LH LH L-H%","LH","LH ","L-H%","yes","L-H%"
"125",125,130,"CHO-P7-target10.wav","laavanya <p> aaraam karti hase ","L-H% LH LH L-H%","Chodri","P7","target10","predFoc","sentence710","no","LH LH LH L-H%","LH","LH ","L-H%","yes","L-H%"
"126",126,131,"CHO-P7-target11.wav","ananyaa <p> kasrat karti hase ","L-H% LH LH L-H%","Chodri","P7","target11","subjFoc","sentence1114","no","LH LH LH L-H%","LH","LH ","L-H%","yes","L-H%"
"128",128,133,"CHO-P7-target13.wav","ananyaa <p> aaraam karti hase ","L-H% LH LH L-H%","Chodri","P7","target13","subjFoc","sentence413","no","LH LH LH L-H%","LH","LH ","L-H%","yes","L-H%"
"134",134,142,"CHO-P7-target7.wav","laavanya <p> aaraam karti hase ","L-H% LH LH L-H%","Chodri","P7","target7","subjFoc","sentence710","no","LH LH LH L-H%","LH","LH ","L-H%","yes","L-H%"
"154",154,162,"CHO-P9-target10.wav","laavanya <p> aaraam karti hase ","L-H% LH LH L-L%","Chodri","P9","target10","predFoc","sentence710","no","LH LH LH L-L%","LH","LH ","L-L%","yes","L-H%"
"163",163,171,"CHO-P9-target4.wav","ananyaa <p> aaraam karti hase ","L-H% LH LH L-H%","Chodri","P9","target4","predFoc","sentence413","no","LH LH LH L-H%","LH","LH ","L-H%","yes","L-H%"
